Joueur,�ge,Position,Ligue,�quipe,Matchs jou�s,Titularisations,Minutes jou�es,Matches �quivalents 90 minutes,Buts,Passes d�cisives,Buts + Passes d�cisives,Buts hors penalty,Penalty marqu�s,Penalty tent�s,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes d�cisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,R�ceptions progressives ,Buts par 90 minutes,Passes d�cisives par 90 minutes,Buts + Passes d�cisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes d�cisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (�quivalents 90 minutes),Actions menant � un tir,Actions menant � un tir par 90 minutes ,Passes vivantes menant � un tir,Passes arr�t�es menant � un tir,Ballons perdus menant � un tir,Tirs menant � un tir,Fautes subies menant � un tir,Actions d�fensives menant � un tir,Actions menant � un but,Actions menant � un but par 90 minutes,Passes vivantes menant � un but,Passes arr�t�es menant � un but,Ballons perdus menant � un but,Tirs menant � un but,Fautes subies menant � un but ,Actions d�fensives menant � un but,Passes r�ussies totales,Passes tent�es totales,Pourcentage de r�ussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes r�ussies,Passes courtes tent�es,Pourcentage de r�ussite des passes courtes,Passes moyennes r�ussies,Passes moyennes tent�es,Pourcentage de r�ussite des passes moyennes,Passes longues r�ussies,Passes longues tent�es,Pourcentage de r�ussite des passes longues,Passes d�cisives,Passes d�cisives attendues (xAG),Passes attendues ,Diff�rence entre passes attendues et xAG,Passes cl�s,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles r�ussis,Penalty obtenus,Penalty conc�d�s,Buts contre son camp,Ballons r�cup�r�s,Duels a�riens gagn�s,Duels a�riens perdus,Pourcentage de duels a�riens gagn�s,Buts,Tirs,Tirs cadr�s,Pourcentage de tirs cadr�s,Tirs par 90 minutes,Tirs cadr�s par 90 minutes,Buts par tir,Buts par tir cadr� ,Distance moyenne des tirs,Coups francs,Penalty marqu�s,Penalty tent�s,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Diff�rence entre buts r�els et xG ,Diff�rence entre buts r�els hors penalty et npxG,Tacles,Tacles r�ussis,Tacles dans le tiers d�fensif,Tacles dans le tiers m�dian,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tent�s,Pourcentage de tacles r�ussis Tkl%,Duels perdus,Contres,Tirs contr�s ,Passes cntr�es ,Interceptions ,Tacles + Interceptions,D�gagements,Erreurs ayant conduit � un tir adverse,Minutes par match ,Pourcentage de minutes jou�es ,Titularisations,Minutes par titularisation ,Matches compl�t�s,Rempla�ants,Minutes par entr�e,Matches non remplac�,Points par match,Buts marqu�s avec le joueur,Buts encaiss�s avec le joueur,Diff�rence de buts avec le joueur,Diff�rence de buts par 90 minutes,Diff�rence avec/sans le joueur,xG marqu�s avec le joueur ,xG encaiss�s avec le joueur,Diff�rence de xG avec le joueur,Diff�rence de xG par 90 minutes,Diff�rence de xG avec/sans le joueur,Touches,Touches dans la surface d�fensive,Touches dans le tiers d�fensif,Touches dans le tier m�dian,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tent�s,Dribbles r�ussis,Pourcentage de dribbles r�ussis,Ballons perdus apr�s dribble,Pourcentage de ballons perdus apr�s dribble,Port�es de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Zakaria Aboukhlal,23.0,Midfielder,Ligue 1,Toulouse,13.0,9.0,754.0,8.4,3.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,2.8,2.0,0.2,2.2,23.0,20.0,75.0,0.36,0.0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,8.4,20.0,2.39,10.0,0.0,2.0,3.0,3.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0,140.0,196.0,71.4,2025.0,599.0,70.0,95.0,73.7,53.0,66.0,80.3,6.0,8.0,75.0,0.0,0.2,1.1,-0.2,5.0,10.0,9.0,1.0,20.0,0.0,17.0,15.0,8.0,5.0,1.0,8.0,1.0,0.0,0.0,21.0,6.0,7.0,46.2,3.0,27.0,7.0,25.9,3.22,0.84,0.07,0.29,18.7,0.0,1.0,1.0,2.8,2.0,0.07,0.2,0.0,9.0,8.0,1.0,5.0,3.0,3.0,12.0,25.0,9.0,9.0,1.0,8.0,1.0,10.0,2.0,0.0,58.0,24.6,9.0,74.0,1.0,4.0,21.0,0.0,1.54,11.0,10.0,1.0,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,305.0,1.0,27.0,123.0,161.0,38.0,304.0,31.0,8.0,25.8,22.0,71.0,233.0,1651.0,745.0,23.0,13.0,8.0
Abdel Abqar,24.0,Defender,La Liga,Alavés,27.0,27.0,2312.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,25.7,12.0,0.47,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0.0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0,0.0,33.0,23.0,1.0,2.0,23.0,19.0,0.0,2.0,1.0,109.0,39.0,36.0,52.0,0.0,10.0,3.0,30.0,0.39,0.12,0.0,0.0,12.1,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,35.0,19.0,28.0,5.0,2.0,21.0,35.0,60.0,14.0,31.0,26.0,5.0,23.0,58.0,115.0,0.0,86.0,67.6,27.0,86.0,23.0,0.0,0.0,4.0,1.07,21.0,30.0,-9.0,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,1032.0,191.0,570.0,422.0,42.0,21.0,1032.0,5.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,7.0,6.0,0.0
Tammy Abraham,25.0,Forward,Serie A,Roma,8.0,2.0,242.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,6.0,4.0,15.0,0.37,0.0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,2.7,3.0,1.12,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.37,0.0,0.0,0.0,0.0,1.0,0.0,19.0,40.0,47.5,231.0,75.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,3.0,1.0,1.0,0.0,4.0,0.0,6.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,54.5,1.0,4.0,2.0,50.0,1.49,0.74,0.25,0.5,11.9,0.0,0.0,0.0,0.6,0.6,0.15,0.4,0.4,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,30.0,7.1,2.0,60.0,0.0,6.0,20.0,1.0,1.38,4.0,4.0,0.0,0.0,-0.54,3.6,5.1,-1.5,-0.57,-0.89,69.0,4.0,4.0,31.0,34.0,9.0,69.0,6.0,2.0,33.3,4.0,66.7,37.0,208.0,111.0,6.0,2.0,2.0
Francesco Acerbi,35.0,Defender,Serie A,Inter,29.0,26.0,2388.0,26.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.8,3.4,21.0,87.0,24.0,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,26.5,22.0,0.83,19.0,0.0,0.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1615.0,1781.0,90.7,29326.0,9174.0,601.0,650.0,92.5,856.0,908.0,94.3,132.0,179.0,73.7,1.0,1.8,1.3,-0.8,7.0,58.0,5.0,2.0,87.0,0.0,19.0,24.0,3.0,9.0,32.0,13.0,0.0,0.0,0.0,102.0,70.0,37.0,65.4,3.0,15.0,6.0,40.0,0.57,0.23,0.2,0.5,12.0,0.0,0.0,0.0,1.6,1.6,0.11,1.4,1.4,22.0,13.0,16.0,6.0,0.0,11.0,14.0,78.6,3.0,20.0,13.0,7.0,32.0,54.0,77.0,1.0,82.0,69.8,26.0,89.0,25.0,3.0,25.0,2.0,2.41,55.0,19.0,36.0,1.36,-1.35,52.2,23.3,28.9,1.09,-0.5,1977.0,219.0,941.0,946.0,98.0,25.0,1977.0,3.0,2.0,66.7,1.0,33.3,1211.0,5779.0,3081.0,21.0,11.0,0.0
Joshua Acheampong,17.0,Defender,Premier League,Chelsea,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,18.0,7.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.2,0.0,0.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.37,0.0,0.6,-0.5,-7.7,-8.15,6.0,5.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,12.0,0.0,0.0,0.0
Marcos Acuña,31.0,Defender,La Liga,Sevilla,21.0,18.0,1292.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,1.5,1.8,23.0,59.0,42.0,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,14.4,49.0,3.42,28.0,15.0,3.0,0.0,2.0,1.0,4.0,0.28,1.0,3.0,0.0,0.0,0.0,0.0,628.0,847.0,74.1,12126.0,4928.0,260.0,297.0,87.5,262.0,328.0,79.9,94.0,183.0,51.4,2.0,1.5,2.1,0.5,23.0,52.0,19.0,12.0,59.0,0.0,18.0,17.0,1.0,82.0,4.0,21.0,0.0,0.0,0.0,99.0,13.0,11.0,54.2,1.0,9.0,4.0,44.4,0.63,0.28,0.11,0.25,27.9,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,33.0,21.0,20.0,12.0,1.0,9.0,14.0,64.3,5.0,12.0,2.0,10.0,4.0,37.0,25.0,0.0,62.0,37.8,18.0,69.0,5.0,3.0,19.0,2.0,1.14,20.0,21.0,-1.0,-0.07,0.14,17.1,21.9,-4.8,-0.34,-0.07,984.0,33.0,270.0,476.0,253.0,10.0,984.0,21.0,10.0,47.6,8.0,38.1,473.0,2266.0,1224.0,23.0,20.0,4.0
Akor Adams,23.0,Forward,Ligue 1,Montpellier,32.0,27.0,2252.0,25.0,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,12.4,12.4,1.9,14.3,40.0,17.0,127.0,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57,25.0,43.0,1.72,29.0,0.0,5.0,8.0,1.0,0.0,3.0,0.12,0.0,0.0,2.0,1.0,0.0,0.0,250.0,385.0,64.9,3676.0,786.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29.0,48.3,1.0,1.9,1.4,-0.9,17.0,14.0,4.0,2.0,17.0,0.0,39.0,22.0,26.0,12.0,5.0,4.0,0.0,0.0,0.0,55.0,54.0,69.0,43.9,8.0,79.0,32.0,40.5,3.16,1.28,0.1,0.25,14.5,0.0,0.0,0.0,12.4,12.4,0.16,-4.4,-4.4,12.0,4.0,3.0,4.0,5.0,3.0,7.0,42.9,4.0,9.0,2.0,7.0,5.0,17.0,11.0,0.0,70.0,73.6,27.0,80.0,10.0,5.0,21.0,1.0,1.22,29.0,32.0,-3.0,-0.12,0.1,32.6,35.3,-2.7,-0.11,0.13,638.0,17.0,61.0,266.0,323.0,118.0,638.0,44.0,14.0,31.8,26.0,59.1,442.0,2673.0,1004.0,40.0,23.0,22.0
Tyler Adams,24.0,Midfielder,Premier League,Bournemouth,3.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,1.3,3.0,2.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,71.0,83.1,973.0,262.0,35.0,39.0,89.7,18.0,24.0,75.0,6.0,8.0,75.0,0.0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,4.0,8.0,2.0,0.0,40.0,3.5,1.0,90.0,1.0,2.0,16.0,2.0,2.0,4.0,3.0,1.0,0.74,1.13,2.1,1.5,0.6,0.43,0.51,91.0,3.0,23.0,54.0,14.0,4.0,91.0,3.0,2.0,66.7,0.0,0.0,44.0,193.0,116.0,4.0,1.0,2.0
Junior Adamu,22.0,Forward,Bundesliga,Freiburg,15.0,0.0,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16,1.2,2.0,1.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,60.0,181.0,36.0,15.0,17.0,88.2,1.0,9.0,11.1,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,1.0,0.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,6.0,45.5,0.0,2.0,1.0,50.0,1.71,0.86,0.0,0.0,12.1,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,5.0,1.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,7.0,3.4,0.0,0.0,0.0,15.0,7.0,13.0,1.47,1.0,5.0,-4.0,-3.43,-3.15,0.9,3.4,-2.5,-2.17,-2.22,54.0,2.0,7.0,32.0,18.0,6.0,54.0,3.0,0.0,0.0,2.0,66.7,29.0,141.0,48.0,1.0,1.0,0.0
Sargis Adamyan,30.0,Forward,Bundesliga,Köln,20.0,8.0,801.0,8.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,4.1,4.1,2.0,6.1,15.0,18.0,42.0,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69,8.9,31.0,3.48,22.0,0.0,1.0,1.0,6.0,1.0,3.0,0.34,1.0,0.0,0.0,1.0,1.0,0.0,132.0,189.0,69.8,1883.0,483.0,73.0,94.0,77.7,44.0,64.0,68.8,5.0,9.0,55.6,2.0,2.0,1.1,0.0,12.0,16.0,3.0,0.0,18.0,0.0,18.0,13.0,8.0,4.0,5.0,9.0,1.0,0.0,0.0,30.0,14.0,37.0,27.5,1.0,31.0,13.0,41.9,3.48,1.46,0.03,0.08,12.4,0.0,0.0,0.0,4.1,4.1,0.13,-3.1,-3.1,14.0,9.0,2.0,9.0,3.0,6.0,11.0,54.5,5.0,16.0,1.0,15.0,5.0,19.0,7.0,0.0,40.0,26.2,8.0,73.0,1.0,12.0,18.0,5.0,0.8,9.0,21.0,-12.0,-1.35,-0.55,11.8,16.5,-4.6,-0.52,0.31,312.0,8.0,30.0,151.0,136.0,52.0,312.0,18.0,7.0,38.9,10.0,55.6,162.0,814.0,344.0,15.0,9.0,5.0
Tosin Adarabioyo,25.0,Defender,Premier League,Fulham,20.0,18.0,1617.0,18.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,10.0,62.0,5.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,18.0,10.0,0.56,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,1216.0,84.5,21010.0,7956.0,277.0,307.0,90.2,627.0,699.0,89.7,115.0,177.0,65.0,0.0,0.1,0.3,-0.1,2.0,47.0,2.0,0.0,62.0,0.0,10.0,5.0,0.0,1.0,25.0,11.0,0.0,0.0,0.0,43.0,56.0,28.0,66.7,2.0,14.0,5.0,35.7,0.78,0.28,0.14,0.4,14.2,0.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3,21.0,11.0,16.0,5.0,0.0,12.0,21.0,57.1,9.0,16.0,11.0,5.0,25.0,46.0,80.0,0.0,81.0,47.3,18.0,90.0,17.0,2.0,2.0,2.0,1.4,28.0,25.0,3.0,0.17,0.62,27.6,28.0,-0.5,-0.03,0.56,1390.0,181.0,713.0,631.0,48.0,29.0,1390.0,3.0,1.0,33.3,0.0,0.0,817.0,4560.0,2661.0,10.0,12.0,1.0
Elijah Adebayo,25.0,Forward,Premier League,Luton Town,27.0,16.0,1419.0,15.8,10.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,5.9,5.9,0.7,6.6,16.0,23.0,110.0,0.63,0.0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,15.8,31.0,1.97,19.0,0.0,5.0,5.0,2.0,0.0,5.0,0.32,2.0,0.0,0.0,3.0,0.0,0.0,144.0,204.0,70.6,1847.0,385.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6.0,50.0,0.0,0.7,0.4,-0.7,14.0,9.0,4.0,0.0,23.0,0.0,27.0,16.0,13.0,5.0,6.0,1.0,0.0,0.0,0.0,34.0,43.0,43.0,50.0,10.0,31.0,14.0,45.2,1.97,0.89,0.32,0.71,9.6,0.0,0.0,0.0,5.9,5.9,0.19,4.1,4.1,4.0,1.0,1.0,0.0,3.0,1.0,12.0,8.3,11.0,13.0,2.0,11.0,6.0,10.0,25.0,0.0,53.0,41.5,16.0,77.0,5.0,11.0,16.0,0.0,0.78,30.0,36.0,-6.0,-0.38,0.83,22.2,28.4,-6.3,-0.4,0.92,462.0,27.0,52.0,172.0,243.0,82.0,462.0,67.0,18.0,26.9,46.0,68.7,265.0,1516.0,425.0,16.0,15.0,13.0
Karim Adeyemi,21.0,Forward,Bundesliga,Dortmund,21.0,10.0,913.0,10.1,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,3.5,3.5,2.0,5.5,52.0,26.0,96.0,0.3,0.1,0.39,0.3,0.39,0.34,0.2,0.54,0.34,0.54,10.1,25.0,2.46,13.0,1.0,3.0,2.0,6.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,218.0,299.0,72.9,2929.0,719.0,135.0,162.0,83.3,61.0,83.0,73.5,8.0,18.0,44.4,1.0,2.0,1.6,-1.0,9.0,9.0,10.0,1.0,26.0,1.0,20.0,19.0,1.0,25.0,3.0,14.0,0.0,0.0,0.0,60.0,14.0,9.0,60.9,3.0,23.0,10.0,43.5,2.27,0.99,0.13,0.3,14.6,0.0,0.0,0.0,3.5,3.5,0.15,-0.5,-0.5,16.0,14.0,9.0,4.0,3.0,8.0,20.0,40.0,12.0,11.0,0.0,11.0,3.0,19.0,5.0,0.0,43.0,29.8,10.0,64.0,1.0,11.0,25.0,3.0,1.76,19.0,15.0,4.0,0.39,-0.49,18.4,17.1,1.2,0.12,-0.31,458.0,10.0,69.0,170.0,227.0,63.0,458.0,60.0,18.0,30.0,32.0,53.3,310.0,2413.0,1171.0,52.0,22.0,27.0
Simon Adingra,21.0,Forward,Premier League,Brighton,31.0,25.0,2222.0,24.7,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,4.3,4.3,3.7,8.0,111.0,50.0,278.0,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,24.7,77.0,3.12,51.0,1.0,13.0,7.0,3.0,2.0,4.0,0.16,3.0,0.0,0.0,0.0,0.0,1.0,634.0,840.0,75.5,8828.0,1713.0,412.0,491.0,83.9,185.0,245.0,75.5,20.0,38.0,52.6,1.0,3.7,3.5,-2.7,33.0,17.0,33.0,11.0,50.0,0.0,29.0,19.0,17.0,76.0,19.0,20.0,1.0,0.0,0.0,118.0,8.0,12.0,40.0,6.0,52.0,22.0,42.3,2.11,0.89,0.12,0.27,15.9,0.0,0.0,0.0,4.3,4.3,0.08,1.7,1.7,45.0,20.0,23.0,11.0,11.0,19.0,42.0,45.2,23.0,31.0,1.0,30.0,19.0,64.0,22.0,0.0,72.0,65.0,25.0,83.0,10.0,6.0,26.0,1.0,1.19,34.0,38.0,-4.0,-0.16,0.06,33.9,35.9,-2.0,-0.08,-0.34,1159.0,36.0,187.0,364.0,627.0,153.0,1159.0,123.0,50.0,40.7,64.0,52.0,773.0,5063.0,2996.0,111.0,48.0,63.0
Nathaniel Adjei,20.0,Defender,Ligue 1,Lorient,15.0,14.0,1243.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,10.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,13.8,11.0,0.8,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,669.0,86.4,10635.0,4097.0,216.0,246.0,87.8,294.0,323.0,91.0,52.0,73.0,71.2,0.0,0.1,0.5,-0.1,3.0,38.0,1.0,0.0,34.0,0.0,10.0,12.0,2.0,2.0,18.0,9.0,0.0,0.0,0.0,60.0,30.0,22.0,57.7,0.0,4.0,0.0,0.0,0.29,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,13.0,9.0,8.0,3.0,2.0,6.0,7.0,85.7,1.0,15.0,8.0,7.0,18.0,31.0,64.0,1.0,83.0,40.6,14.0,88.0,13.0,1.0,12.0,0.0,0.93,15.0,27.0,-12.0,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08,811.0,94.0,374.0,397.0,46.0,10.0,811.0,5.0,4.0,80.0,1.0,20.0,554.0,3506.0,1609.0,10.0,12.0,0.0
Amine Adli,23.0,Midfielder,Bundesliga,Leverkusen,23.0,8.0,898.0,10.0,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,3.3,3.3,2.3,5.6,32.0,39.0,131.0,0.4,0.6,1.0,0.4,1.0,0.33,0.23,0.56,0.33,0.56,10.0,52.0,5.22,39.0,0.0,6.0,3.0,4.0,0.0,9.0,0.9,5.0,0.0,2.0,1.0,1.0,0.0,367.0,459.0,80.0,4683.0,1110.0,252.0,291.0,86.6,91.0,110.0,82.7,7.0,18.0,38.9,6.0,2.3,2.9,3.7,21.0,19.0,18.0,3.0,39.0,0.0,14.0,28.0,7.0,23.0,6.0,7.0,0.0,0.0,0.0,36.0,21.0,22.0,48.8,4.0,27.0,15.0,55.6,2.71,1.5,0.15,0.27,13.7,0.0,0.0,0.0,3.3,3.3,0.12,0.7,0.7,16.0,7.0,2.0,10.0,4.0,7.0,17.0,41.2,10.0,10.0,2.0,8.0,6.0,22.0,5.0,0.0,39.0,29.3,8.0,71.0,1.0,15.0,22.0,4.0,2.65,28.0,9.0,19.0,1.9,-0.01,24.2,10.4,13.8,1.39,0.14,575.0,7.0,52.0,231.0,299.0,66.0,575.0,27.0,13.0,48.1,10.0,37.0,339.0,1768.0,1021.0,32.0,25.0,16.0
Yacine Adli,23.0,Midfielder,Serie A,Milan,24.0,17.0,1407.0,15.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,2.2,2.5,30.0,125.0,26.0,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,15.6,62.0,3.97,41.0,18.0,3.0,0.0,0.0,0.0,8.0,0.51,4.0,3.0,1.0,0.0,0.0,0.0,1125.0,1300.0,86.5,20142.0,6752.0,489.0,534.0,91.6,487.0,534.0,91.2,120.0,177.0,67.8,2.0,2.2,2.0,-0.2,22.0,149.0,16.0,6.0,125.0,0.0,26.0,9.0,1.0,50.0,20.0,17.0,0.0,1.0,0.0,94.0,15.0,10.0,60.0,1.0,4.0,1.0,25.0,0.26,0.06,0.25,1.0,19.8,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,34.0,17.0,17.0,13.0,4.0,13.0,35.0,37.1,22.0,22.0,8.0,14.0,20.0,54.0,15.0,1.0,59.0,41.1,17.0,74.0,6.0,7.0,21.0,14.0,1.88,25.0,22.0,3.0,0.19,-0.88,23.3,17.7,5.6,0.36,-0.32,1439.0,38.0,262.0,913.0,281.0,8.0,1439.0,32.0,22.0,68.8,8.0,25.0,873.0,4728.0,2144.0,30.0,27.0,3.0
Adryelson,25.0,Defender,Ligue 1,Lyon,2.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,75.0,28.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.2,0.0,0.0,0.0,2.0,3.0,12.0,1.5,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.07,9.0,2.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,9.0,0.0,0.0,0.0
